seq,group,name,capture_status,match,old_system_path,old_menu_name,old_link,config_id,config_type,main_table,from_table,order_info,visible_columns,hidden_columns,search_fields,add_config_id,show_add_config_id,alignment_note
22,资金借还,借款申请,captured,exact,办公/报销/借还款/借款申请,借款申请,LowCode/Form/FormList?ConfigId=67b857cf441d403f9b38e2502a7c194c,67b857cf441d403f9b38e2502a7c194c,List,BGGL_JHK_JKSQ,,pid desc,单据状态(DJZTText); 项目名称(XMMC); 单据编号(DJBH); 申请部门(SQBM); 申请时间(SQSJ); 申请人(SQR); 是否预算内(SFYSN); 实际借款金额(JKJE); 主要资金使用安排(ZYZJSYAP); 收款人(SKR); 收款账户(SKZH); 开户银行(KHYH); 公司名称(GSMC); 备注(BZ); 付款单位(FKDW); 收款单位(SKDW); 往来单位名称(WLDWMC); 往来单位账户(WLDWZH); 借款账号(ZKZH); 实际批复金额(SJPFJE); 申请金额(SQJE); 预计归还时间(YJGHSJ); 借款类型(FKFSMC); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),累计借款情况(LJJKQK); 领借款编号(LJKBH); 主题(ZT1); 长期备用金(CQBYJ); 费项(FX); 事项(SX); LJKJE(LJKJE); 冲账金额（元）(CZJE); 剩余金额（元）(SYJE); 币种(BZ1); 汇率(HL); 本位币金额(BWBJE); 往来单位类型(WLDWLX); 预算;(预算内，预算外)(YS); 申请人_类型(SQR_LX); 入账期间(RZQJ),单据编号(DJBH/Data),ca7ff2f0602842cc917771e29c19aeaa,1c56f919626040febccbd18d771e7f35,lowcode_form_captured
23,资金借还,还款登记,captured,exact,办公/报销/借还款/还款登记,还款登记,LowCode/Form/FormList?ConfigId=1817964f26514480b38d72cfd07a4a93,1817964f26514480b38d72cfd07a4a93,List,BGGL_JHK_HKDJ,BGGL_JHK_HKDJ_CB,Pid desc,项目名称(XMMC); 单据状态(DJZTText); 单据编号(DJBH); 申请部门(SQBM); 申请时间(SQSJ); 申请人(SQR); 是否预算内(SFYSN); 借款金额(JKJE); 往来单位名称(WLDWMC); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),ZYZJSYAP(ZYZJSYAP); 汇款日期(HKRQ); 还款金额(HKJE); 往来单位类型(WLDWLX); 往来单位账户(WLDWZH); 还款账号(HKZH); 入账期间(RZQJ); 汇款人(HKR),单据编号(DJBH/Data),17896c72c900438db73fc34e20c391fc,aca7189ab3744dd088a7cf757c0ba795,lowcode_form_captured
24,费用报销,报销申请,captured,exact,办公/报销/报销/报销申请,报销申请,LowCode/Form/FormList?ConfigId=b05846f69bcb408a8f76db759b727964,b05846f69bcb408a8f76db759b727964,List,CWGL_FYBX,CWGL_FYBX_CB,Pid desc,单据状态(DJZTText); 单据编号(DJBH); 所属公司(SSGS); 日期(RQ); 部门(BM); 报销人(XM); 报销类别(BXLB$CWGL_FYBX_CB); 事项说明(SXSM$CWGL_FYBX_CB); 报销金额(JE$CWGL_FYBX_CB); 收款人(SKR); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),联系方式(LXFS); 职位(ZW); DXJE(DXJE); HJ(HJ); 付款方式(FKFS); 单据张数(DJZS); 收款账号(SKZH); 开户银行(KHYH); 备注(BZ); XMMC(XMMC); SFHX(SFHX); HXJKD(HXJKD); HXJE(HXJE); 申请报销金额(SQBXJE); 实际报销金额(SJBXJE); 其中含押金(YJJE); 是否预算内(YS); 入账期间(RZQJ); JKDLX(JKDLX); 是否退回(SFTH); 原报销申请编号(YBXSQBH); SJBXR(SJBXR); 关联出差申请(GLCCSQ),"报销人(XM/Data); 报销日期(RQ/Data); 收款人(SKR/Data); 部门(BM/Data); 报销类别(CWGL_FYBX_CB,BXLB/Data); 事项说明(CWGL_FYBX_CB,SXSM/Data)",1dc2ab33f4764b87a1f5b91b81810264,91909f5c6544405892d1269d00f696bf,lowcode_form_captured
25,收支,收入,captured,exact,办公/公司财务/财务收付款/收入,收入,LowCode/Form/FormList?ConfigId=20cce886668d4327ab3bd0b5eeb3c6d0,20cce886668d4327ab3bd0b5eeb3c6d0,List,C_CWSFK_GSCWSR,C_CWSFK_GSCWSR_CB,Pid desc,单据状态(DJZTText); 项目名称(XMMC); 单据编号(DJBH); 填写人(TXR); 收款账户(SKZH); 进账金额(JZJE); 收入类别(D_SCBSJS_CWSRLB); 收款时间(SKSJ); 备注(BZ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),转账方式(ZZFS); 收款类别(SKLB); FKDW(FKDW); FKDWLX(FKDWLX); 付款账户(FKZH); 联系人(LXR); 关联已开发票(GLYKFP); 是否退回(SFTH); 标题(BT); 是否需要转拨至项目账户(SFXZBZXMZH); 转拨至项目(ZBZXM); 总收入(ZSR); 转拨金额(ZBJE); 公司扣款(GSKK); 项目收款账户(XMSKZH); 时间(SJ); 转拨备注(ZBBZ); GSMC(GSMC); 部门名称(BMMC); 账户名称(ZHMC),收入类别(D_SCBSJS_CWSRLB1/Data); 收款日期(SKSJ/Data); 单据编号(DJBH/Data),fcbebdfbbed141c394aa605b6acf3c11,ff4e42e4c17c458fab26e14b3c2bda1d,lowcode_form_captured
26,收支,公司财务支出,captured,exact,办公/公司财务/财务收付款/公司财务支出,公司财务支出,LowCode/Form/FormList?ConfigId=5ee8feadd29942c397cd2ba9a4e564cf,5ee8feadd29942c397cd2ba9a4e564cf,List,C_CWSFK_GSCWZC,,Pid desc,单据状态(DJZTText); 推送结果(TSJG); 单据编号(DJBH); 付款时间(FKSJ); 付款金额(FKJE); 成本类别(D_SCBSJS_CWZCLB); 收款单位名称(SKDWMC); 付款账户名称(FKZHMC); 备注(BZ); 录入人(LRR); 录入时间(LRSJ); 附件(f_FJ),项目名称(XMMC); 业务名称(YWMC); 成本类别名称(CBLBMC); 付款大写金额(FKJEDX); 填写人名称(TXRMC); 转账方式名称(ZZFSMC); 开户银行(KHYH); 收款账户(SKZH); 关联已开发票名称(GLYKFPMC); 联系人(LXR); 标题(BT); 收款单位类型(SKDWLX); 公司名称(GSMC); 部门名称(BMMC),成本类别(D_SCBSJS_CWZCLB/Data); 收款单位名称(SKDWMC/Data); 付款账户(FKZHMC/Data); 付款日期(FKSJ123/Data); 单据编号(DJBH/Data); 备注(BZ/Data),2285e9182bbf46bc8a92fd20340c59be,3a4006b87e864b8cb0526bd91ef7828a,lowcode_form_captured
27,项目资金,承包人还项目款,captured,exact,资金/自筹垫付/付息借款/承包人还项目款,承包人还项目款,LowCode/Form/FormList?ConfigId=04833d493d8c4b7e9abe576972e82c66,04833d493d8c4b7e9abe576972e82c66,List,ZJGL_ZCDFSZ_FXJK_HK,,Pid desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(XMMC); 借款人(JKR); 借款金额(JKJE); 还款金额(HKJE); 用途(YT); 借款利率(JKLX); 利息(LX); 还款时间(HKSJ); 备注(BZ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),约定期限(YDQX); 填写人(TXR); 总金额(ZJE); 登记人(DJR); 我司收款账户(WSSKZH); 收款开户行(SKKHH); 支出账户(ZCZH); 支出开户行(ZCKHH); 付款单位(FKDW); 借款单号(JKDH); 收款单位(SKDW); 大写金额(DXJE); 填写日期(TXRQ),项目名称(XMMC/Data); 填写日期(TXRQ/Data); 借款人(JKR/Data),f66add02d90446c3acc3a0244630c684,2d6476bd7bfe47589951756bbdc22bcf,lowcode_form_captured
28,项目资金,承包人借项目款,captured,exact,资金/自筹垫付/付息借款/承包人借项目款,承包人借项目款,LowCode/Form/FormList?ConfigId=95462a23156b45bc9beee2ee89078880,95462a23156b45bc9beee2ee89078880,List,ZJGL_ZCDFSZ_FXJK_JK,,pid desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(XMMC); 借款人(JKR); 借款金额(JKJE); 用途(YT); 约定期限(YDQX); 借款利息(JKLX); 备注(BZ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),填写人(TXR); 收款账户(SKZH); 收款开户行(SKKHH); 收款单位(SKDW); 我司支出账户(WSZCZH); 支出开户行(ZCKHH); TXRLX(TXRLX); 检查部门(BM); 大写金额(DXJE); 填写日期(TXRQ),借款人(JKR/Data); 项目名称(XMMC/Data); 用途(YT/Data); 单据编号(DJBH/Data); 填写日期(TXRQ/Data); 填写人(TXR/Data),15ff5d1fafae4b4c804c3aa52e943995,290034e25d05404abe1c2ce1f92b9488,lowcode_form_captured
29,付款,支付申请,captured,exact,资金/资金收支/支付申请/支付申请,支付申请,LowCode/Form/FormList?ConfigId=8797725d47ab49b2bc532ca3bfc0e410,8797725d47ab49b2bc532ca3bfc0e410,List,C_ZFSQGL,C_ZFSQGL_CB,f_LRSJ desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(f_XMMC); 申请日期(f_SQRQ); 收款单位(f_GYSMC); 申请付款金额(f_JHJE); 实际付款金额(FKJE); 可用余额(SJKYYE); 成本分类名称(f_CBFLMC); 备注(f_Remark); 是否关联单据(SFGLDJ); 付款账号(FKZH); 金额大写(JEDX); 户名(HM); 开户行(f_KHH); 账号(f_ZH); 填写人(f_TXR); 附件(f_FJ); 录入时间(f_LRSJ),"付款方式名称(f_FKFSMC); f_SFJE(f_SFJE); 付款抹零金额(FKMLJE); 供应商合同编号(f_GYSHTBH); 执行合同信息(f_ZXHTXX); 是否超付(f_SFCF); 状态值：0保存，由会计填写。1提交，由项目经理提交(f_ZT); 录入人(f_LRR); 录入时间(f_LRSJ); 项目审核状态，1,审核通过，0审核未通过(f_XMSHZT); 项目审核时间(f_XMSHSJ); 项目审核人(f_XMSHR); 项目审核备注(f_XMSHBZ); 是否已支付，默认值：否(f_SFYZF); 支付类型：材料、劳务、分包、机械、租赁、管理费(f_ZFLX); XGRQ(XGRQ); SCR(SCR); SCRQ(SCRQ); XGBZ(XGBZ); PJH(PJH); ZSJE(ZSJE); f_JHFKJE(f_JHFKJE); FKZHMC(FKZHMC); CN(CN); JBR(JBR); SFML(SFML); ML(ML); 支付申请：无发票预付：0代表有，1代表无(WFPYF); 支付申请：申请补录(SFBL); 支付申请：补录人(BLR); 支付申请：补录时间(BLSJ); WHTYF(WHTYF); WYWYF(WYWYF); WJSYF(WJSYF); 入账期间(RZQJ); 其中含押金(YJJE); 部门(f_BM); 填写人(f_TXRLX); 是否多账户付款(SFDZHFK); 关联流程页签标题(GLLCYQ); 数据来源(SJLY); 所属公司(D_BYK_SSGS); 零星项目名称(LXXMMC); 是否聚合项目(SFJHXM); 申请付款金额(新)(f_NEW_JHJE); 0和空为 否 1为是(SFHJFKXM); 付款合计项目名称(FKHJXMMC); 付款项目合计金额(FKXMHJJE); 录入人(f_LRR)",(DWMC/Data); 项目名称(f_XMMC/Data); 单据编号(DJBH/Data); (DWMC/Data); 申请日期(f_SQRQ1/Data); 录入人(f_LRR/Data),5f938ac020a9407daf6bdcc6556f4408,c7e251b129104a1c97eb734f495af497,lowcode_form_captured
30,扣款,扣款单,captured,exact,资金/资金收支/支付申请/扣款单,扣款单,LowCode/Form/FormList?ConfigId=aa3a45e9fad54e85abdec43ebbaf5bd6,aa3a45e9fad54e85abdec43ebbaf5bd6,List,C_ZFSQGL_KKD,,pid desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(XMMC); 扣款单位(KKDW); 扣款金额(KKJE); 扣款事由(KKSY); 单据日期(DJRQ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),手工号(SGBH); 是否确认(SFQR); 是否扣款(SFKK); 类型(LX); 单据来源（1、代表支付申请 2、代表往来单位付款）(DJLY); 栋号(SGBWMC); 关联用工申请(GLYGSQ); 关联零星用工单(GLLXYGD),项目名称(XMMC/Data); 扣款单位(KKDW/Data); 日期(DJRQ/Data),f6a16165b2724a1c9cc3b4b36db72abb,a1bebb7533d74afbb8803ff95329ee5c,lowcode_form_captured
31,付款,往来单位付款,captured,exact,资金/资金收支/付款管理/往来单位付款,往来单位付款,LowCode/Form/FormList?ConfigId=76a49bc01ef6469380e46555a9096139,76a49bc01ef6469380e46555a9096139,List,T_FK_SUPPLIER,T_FK_Supplier_CB,PID desc,单据状态(DJZTText); 推送结果(TSJG); 金蝶单据编号(OTHER_SYSTEM_CODE); 单据编号(DJBH); 項目名称(XMMC); 供应商名称(f_SupplierName); 付款日期(f_FKRQ); 付款金额(f_FKJE); 备注(f_BZ); 其他备注(Remark); 付款方式名称(f_FKFSMC); 填写人(f_TXR); 开户行(KHH); 账户(ZH); 付款账户(FKZH); 付款账户名称(FKZHMC); 支付申请单号(ZFSQDH); 附件(f_FJ),是否推送金蝶(D_SCBSJS_IsPush); 类别(f_LB); 合同编号(f_HTHB); 支票号(f_ZPH); 发票号(f_FPH); 大写金额(JEDX); 料单金额(f_LDJE); 用途(f_YT); 被委托单位(f_BWTDW); 被委托账户(f_BWTZH); 被委托银行(f_BWTYH); 付款类型(f_FKLX); SFML(SFML); ML(ML); SFBL(SFBL); BLR(BLR); BLSJ(BLSJ); 备注(BZ); 付款单：无发票预付(WFPYF); 收费账户退款(SFZFTK); WHTYF(WHTYF); WYWYF(WYWYF); WJSYF(WJSYF); f_LYXM(f_LYXM); 入账期间(RZQJ); 经办人(JBR); 经办人电话(JBRDH); 部门(f_BM); 填写人类型(f_TXRLX); 是否多账号付款(SFDZHFK); 关联流程页签标题(GLLCYQ); 户名(HM); 付款节点名称(FKJDMC); 项目经理名称(XMJLMC); 录入人(LRR); 录入时间(f_LRSJ); 录入时间(LRSJ); 发票金额(f_FPJE),项目名称(XMMC/Data); 供应商名称(f_SupplierName/Data); 付款日期(f_FKRQ/Data); 付款方式(f_FKFSMC/Data); 单据编号(DJBH/Data); 付款账户名称(FKZHMC/Data); 付款金额(f_FKJE/Data),b34b92ef0a234fbe8a1ad83949675409,9d931c59cb26488ebaba4de7c602e492,lowcode_form_captured
32,资金账户,账户间资金往来,captured,exact,资金/资金收支/付款管理/账户间资金往来,账户间资金往来,LowCode/Form/FormList?ConfigId=ba6bf327bef542d5babc73047c3b6484,ba6bf327bef542d5babc73047c3b6484,List,C_FKGL_ZHJZJWL,,pid desc,单据状态(DJZTText); 项目名称(XMMC); 单据编号(DJBH); 发生时间(FSSJ); 账户号码(ZCZH); 收款账户(SKZH); 金额(JE); 转账类别(f_LB); 事由(SY); 备注(BZ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),手动单号(SDDH); 支付申请单号(ZFSQ); 支出项目名称(ZCXMMC); 收款项目名称(SKXMMC),单据编号(DJBH/Data); 项目名称(XMMC/Data); 发生时间(FSSJ/Data); 金额(JE/Data),40034bafe7834741a7301938e015a698,52073448eaf24736b2b984e230c7e9e3,lowcode_form_captured
33,扣款,扣款实缴登记,captured,exact,资金/资金收支/付款管理/扣款实缴登记,扣款实缴登记,LowCode/Form/FormList?ConfigId=f8030ead29934c2c986c5838a84acb3b,f8030ead29934c2c986c5838a84acb3b,List,T_KK_SJDJB,T_KK_SJDJB_CB,Pid desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(XMMC); 单据日期(DJRQ); 标题(BTMC); 本次实缴数(BCSJS$T_KK_SJDJB_CB); 是否退回(SFTH$T_KK_SJDJB_CB); 上缴内容(SJNR$T_KK_SJDJB_CB); 本次计划已缴数(BCJHYJS$T_KK_SJDJB_CB); 录入人(LRR); 录入时间(LRSJ),资金计划名称(ZJJHMC); 计划单号(JHDH); 扣款账户(KKZH); 累计应缴数(LJYJS$T_KK_SJDJB_CB); 累计已缴数(LJYYJS$T_KK_SJDJB_CB); 登记人(DJR); 附件(f_FJ),"上缴内容(T_KK_SJDJB_CB,SJNR/Data); 单据日期(DJRQ/Data); 是否退回(T_KK_SJDJB_CB,SFTH1/Data); 项目名称(XMMC/Data)",c5ccb0109af840e9860d427f16ef2419,d81dc7780d2940ac837ace33e1faed04,lowcode_form_captured
34,扣款,扣款实缴退回,captured,exact,资金/资金收支/付款管理/扣款实缴退回,扣款实缴退回,LowCode/Form/FormList?ConfigId=77ed25cbfe1f44529241e05c849fcee2,77ed25cbfe1f44529241e05c849fcee2,List,T_KK_SJTHB,T_KK_SJTHB_CB,Pid desc,单据状态(DJZTText); 项目名称(XMMC); 单据编号(DJBH); 本次实缴数(BCSJS$T_KK_SJTHB_CB); 本次退回数(BCTHS$T_KK_SJTHB_CB); 上缴内容(NR$T_KK_SJTHB_CB); 备注(BZ); 附件(f_FJ); 录入人(LRR); 单据日期(DJRQ),录入时间(LRSJ); 本次计划应缴数(BCJHYJS$T_KK_SJTHB_CB); 累计已退回金额(LJYTH$T_KK_SJTHB_CB); 登记人(DJR); 扣款退回账户(KKZH),"项目名称(XMMC/Data); 上缴内容(T_KK_SJTHB_CB,NR1/Data); 退回类别(T_KK_SJTHB_CB,NR/Data); 日期(DJRQ/Data)",37c37f4597564d0b905477d204a936aa,c335dbdbc2604787b125ffcad77b2bc0,lowcode_form_captured
35,收款,到款确认表,captured,exact,资金/资金收支/收支确认表/到款确认表,到款确认表,LowCode/Form/FormList?ConfigId=c101aad0c08340e98b1cebb3dddead45,c101aad0c08340e98b1cebb3dddead45,List,ZJGL_SZQR_DKQRB,,PID desc,单据状态(DJZTText); 单据编号(DJBH); 时间(SJ); 项目名称(XMMC); 期数(QS); 本期收款(KPSKQK_BQS); 本期代扣代缴合计(BQDKDJHJ); 本期拨付金额合计(YFSGDGCK_2); 附件(f_FJ); 施工单位(SGD); 合同金额(HTJE); 目前形象进度(MQXXJD); 累计开票金额(LJKPJE); 上期留存余额(SQLCYE_SQLJS); 录入人(LRR); 录入时间(LRSJ),中标日期(ZBRQ); 审计总价(SJZJ); SQLCYE_BQS(SQLCYE_BQS); SQLCYE_JZBQLJS(SQLCYE_JZBQLJS); SQLCYE_BZ(SQLCYE_BZ); KPSKQK_SQLJS(KPSKQK_SQLJS); KPSKQK_JZBQLJS(KPSKQK_JZBQLJS); KPSKQK_BZ(KPSKQK_BZ); ZLKXTH_SQLJS(ZLKXTH_SQLJS); ZLKXTH_BQS(ZLKXTH_BQS); ZLKXTH_JZBQLJS(ZLKXTH_JZBQLJS); ZLKXTH_BZ(ZLKXTH_BZ); BCKYZJYE_SQLJS(BCKYZJYE_SQLJS); BCKYZJYE_BQS(BCKYZJYE_BQS); BCKYZJYE_JZBQLJS(BCKYZJYE_JZBQLJS); BCKYZJYE_BZ(BCKYZJYE_BZ); SGDGCK_1(SGDGCK_1); SGDGCK_2(SGDGCK_2); SGDGCK_3(SGDGCK_3); SGDGCK_4(SGDGCK_4); YFSGDGCK_1(YFSGDGCK_1); YFSGDGCK_3(YFSGDGCK_3); YFSGDGCK_4(YFSGDGCK_4); C_JFHKLR_Ids(C_JFHKLR_Ids); 填写人(TXR),项目名称(XMMC/Data); 时间(SJ/Data),7d5b2bc2b9d146848a61a1434ee9d05e,66286cae88ac456a932b520109e087ed,lowcode_form_captured
36,资金日报,资金日报表,captured,exact,资金/资金收支/资金日报表,资金日报表,LowCode/Form/FormList?ConfigId=8c70515f098e4728aeb743b47418518d,8c70515f098e4728aeb743b47418518d,List,D_SCBSJS_ZJGL_ZJSZ_ZJRBB,D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB,PID desc,单据状态(DJZTText); 单据编号(DJBH); 单据日期(DJRQ); 账号名称(ZHMC$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 银行账号(YHZH$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 当前账户余额(DQZHYE$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 当前账户银行余额(DQZHYHYE$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 银行系统差额(YHXTCE$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 当日累计收入(DRLJSR$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 当日累计支出(DRLJZC$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 账户往来(ZHWL$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 备注(BZ$D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB); 录入人(LRR); 录入时间(LRSJ),项目名称(XMMC),"帐号名称(D_SCBSJS_ZJGL_ZJSZ_ZJRBB_CB,ZHMC/Data); 单据编号(DJBH/Data); 单据日期(DJRQ/Data)",a36633965e5c42ab92d781c06a5b39d8,4a39ff91be81476bb1d19c804879c338,lowcode_form_captured
37,项目资金,项目借公司款登记,captured,exact,资金/贷款管理/项目借公司款登记,项目借公司款登记,LowCode/Form/FormList?ConfigId=d2253a78ecb14794b5b1851d82813c65,d2253a78ecb14794b5b1851d82813c65,List,ZJGL_ZJSZ_DKGL_DKDJ,,pid desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(XMMC); 贷款金额(DKJE); 到期利息(D_SCBSJS_DQLX); 还款金额(HKJE); 未还款金额(HKSYJE); 贷款日期(DKRQ); 还款日期(HKRQ); 贷款天数(DKSJ); 年利率(DKLL); 贷款账户(DKZH); 贷款银行(DKYH); 备注(BZ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),,单据编号(DJBH/Data); 贷款账户(DKZH/Data); 贷款日期(DKRQ/Data); (DKRQ1/Data); 项目名称(XMMC/Data),e2582227b5284cd59e750e95e2c93832,53c3f8c3237d48a7949e8fc31e1058b7,lowcode_form_captured
38,项目资金,项目还公司款登记,captured,exact,资金/贷款管理/项目还公司款登记,项目还公司款登记,LowCode/Form/FormList?ConfigId=fc3b2d537e794624853ee626f0c59ece,fc3b2d537e794624853ee626f0c59ece,List,ZJGL_ZJSZ_DKGL_HKDJ,,pid desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(XMMC); 还款金额(HKJE); 实际还款天数(D_SCBSJS_SJHKTS); 实际年利率(D_SCBSJS_SJNLL); 贷款利息(DKLX); 贷款银行(DKYH); 贷款账户(DKZH); 还款账户(HKZH); 填写人(TXR); 备注(BZ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),贷款金额(DKJE); 贷款日期(DKRQ); 还款日期(HKRQ); 贷款天数(D_SCBSJS_DKTS); 贷款天数(DKSJ); 年利率(DKLL),单据编号(DJBH/Data); 还款账户(HKZH/Data),124f7089201d4301abf413c0ad764f67,ecc578aa4490496584ebdb4332161da0,lowcode_form_captured
39,发票税务,开票申请,captured,exact,税务/销项/开票申请,开票申请,LowCode/Form/FormList?ConfigId=eba0e4922fa7445c9c9904fd4ab6da61,eba0e4922fa7445c9c9904fd4ab6da61,List,C_JXXP_KJFPSQ,,pid desc,状态(DJZTText); 开票状态(KPZT); 合同编号(HTBH); 项目名称(XMMC); 单据编号(DJBH); 申请人(SQR); 预计回款日期(YJHKRQ); 申请日期(SQRQ); 受票方名称(SPF_MC); 累计开票金额(LJKPJE); 合同额(HTE); 本次开票张数(BCKP_ZS); 本次开票金额(BCKPJE); 附件(f_FJ); 备注(BZ); 录入人(LRR); 录入时间(LRSJ),,单据编号(DJBH/Data); 受票方名称(SPF_MC/Data); 申请日期(SQRQ/Data),7cb22a7ed351404d8c7ac8ac6d377f28,6f5816fc673e4128b0e60277aa1cc792,lowcode_form_captured
40,发票税务,开票登记,captured,exact,税务/销项/开票登记,开票登记,LowCode/Form/FormList?ConfigId=c68b6f2c3fc8425f9b8a55ba9b4cd1e3,c68b6f2c3fc8425f9b8a55ba9b4cd1e3,List,C_JXXP_XXKPDJ,C_JXXP_XXKPDJ_CB,pid desc,单据状态(DJZTText); 推送结果(TSJG); 金蝶单据编号(OTHER_SYSTEM_CODE); 单据编号(DJBH); 项目名称(XMMC); 受票方名称(SPFMC); 含税金额(JE$C_JXXP_XXKPDJ_CB); 税额(SE$C_JXXP_XXKPDJ_CB); 不含税金额(JE_NO$C_JXXP_XXKPDJ_CB); 附加税(D_SCBSJS_FJS); 开票张数(KPZS); 税率(SLVS); 关联回款金额(GLHKJE); 发票号(FPH$C_JXXP_XXKPDJ_CB); 发票种类(FPZL); 开票单位(KPDW); 附件(f_FJ); 录入人(LRR); 开票日期(KPRQ); 录入时间(LRSJ),申请日期(SQRQ); 实开总金额(SKZJE); 不含税金额(BHSJE); 税额(ZSE); 申请人(SQR); 发票号码(FPHM); 发票栏备注(BZ); 标题(BT),"受票方名称(SPFMC/Data); 项目名称(XMMC/Data); 申请日期(SQRQ/Data); 开票日期(KPRQ/Data); 税率(C_JXXP_XXKPDJ_CB,SLV/Data); 含税金额(C_JXXP_XXKPDJ_CB,JE/Data)",6757228c128749b18fa2e9043ecb95b3,3072295252c54a7889f9aafa79b3102b,lowcode_form_captured
41,发票税务,预缴税款,captured,exact,税务/销项/预缴税款,预缴税款,LowCode/Form/FormList?ConfigId=324279dc2fc14e13996b26c21b619e43,324279dc2fc14e13996b26c21b619e43,List,C_JXXP_YJSKDJ,C_JXXP_YJSKDJ_CB,Pid desc,状态(DJZTText); 项目名称(XMMC); 单据编号(DJBH); 受票方名称(SPFMC); 交税类型(JSLX$C_JXXP_YJSKDJ_CB); 金额(JE$C_JXXP_YJSKDJ_CB); 发票开具日期(FPKJRQ); 预缴税款日期(YJRQ); 完税凭证号码(PZHM); 附件(f_FJ); 录入人(LRR),增值税金额(ZZSJE); 本次缴税金额(BCJSJE); 开票总金额(KPZJE); 分包抵扣金额(FBDKJE); 分包发票号码(FBFPHM); 本次缴税金额(BCJSJE); 申请人(SQR); 录入时间(LRSJ); 申请日期(SQRQ),"预缴税金类型(C_JXXP_YJSKDJ_CB,JSLX/Data); 单据编号(DJBH/Data); 项目名称(XMMC/Data); 申请日期(SQRQ/Data)",85a50499f0294d089471761d34d3b901,89a50499f0294d089471761d34d3b956,lowcode_form_captured
